Text,Definition,Root,Error_Count,Mason_Importancy,
exacerbate,惡化,acer,0,5,
acerbic,刻薄的,acer,0,3,
acrimonious,嚴厲的、尖刻的,acri,0,4,
acrimony,尖刻、刻薄,acri,0,4,
acrid,辛辣的、苛薄的,acri,0,S,
acuity,敏銳,acu,0,1,
acumen,精明,acu,0,3,
acute,靈敏的,acu,0,1,
,,,,,
enact,制定(法律)、扮演(角色),act,0,B,
reactionary,保守的、反動的,act,0,4,
exactitude,正確性,act,0,2,
exacting,嚴格的,act,0,4,
,,,,,
aerate,充氣、使空氣進入,aer,0,S,
aerial,空中的,aer,0,S,
aeronautics,航空學,aer,0,S,
anaerobic,厭氧的,aer,0,S,
,,,,,
agile,靈敏的,ag,0,4,
agitated,激動的、不安的,ag,0,3,
coagulate,使凝結,ag,0,1,
exigent,緊急的、要求多的,ig,0,5,
prodigal,非常浪費的、揮霍的,ig,0,5,
reagent,試劑,ag,0,S,
,,,,,
agog,渴望的、極興奮的,agog,0,S,
demagogue,煽動家,agog,0,S,
pedagogy,教育學、教學法,agog,0,S,
pedagogic,教育學的,agog,0,S,
pedagogue,老師,agog,0,S,
,,,,,
agony,極大痛苦,agon,0,3,
antagonist,敵對的,agon,0,4,
protagonist,主角、主演、主唱者,agon,0,4,
,,,,,
agrarian,土地的,agr,0,1,
peregrinate,遊歷、旅行,agr,0,3,
,,,,,
colesce,聯合、合併,al,0,2,
coalition,同盟、聯合,al,0,1,
,,,,,
ail,生病,ail,0,S,
,,,,,
analgestic,鎮痛劑,aig,0,2,
nostalgia,思鄉病,aig,0,4,
,,,,,
ailenation,疏離、疏遠,alien,0,3,
inalienable,不可剝奪的,alien,0,1,
,,,,,
exalt,讚揚,alt,0,4,
,,,,,
altruism,利他主義,altr,0,5,
,,,,,
amiable,和藹的,am,0,3,
amicable,友好的,am,0,S,
amity,和睦、友好關係,am,0,1,
enmity,敵意、不和,am,0,1,
enamored,迷戀的,am,0,3,
inimical,有敵意的、不和的,am,0,5,
,,,,,
amble,從容漫步,amble,0,S,
ambulatory,(適合)步行的,ambul,0,S,
perambulae,勘查,ambul,0,S,
preamble,前言,amble,0,S,
ramble,閒逛、漫步,amble,0,1,
scramble,爬行、攀爬,amble,0,S,
shamble,蹣跚而行,amble,0,S,
,,,,,
amplify,放大,ampl,0,1,
,,,,,
anguish,極大痛苦的,ang,0,S,
,,,,,
animadvert,批評,anim,0,3,
animate,激勵、鼓舞、使有生命,anim,0,1,
animated,栩栩如生,anim,0,1,
animation,熱烈、動畫,anim,0,A,
animosity,仇恨,anim,0,3,
animus,敵意,anim,0,1,
pusillanimous,膽小的,anim,0,2,
unanimous,全體一致的,anim,0,4,
,,,,,
perennial,終年的、永久的,ann,0,3,
,,,,,
misanthrope,憤世忌俗者,anthrop,0,1,
philanthropic,博愛的,anthrop,0,1,
,,,,,
antecedent,在先前的、前身的,ante,0,3,
antedate,先於、早於,ante,0,1,
antiquated,過時的、陳舊的,anti,0,4,
,,,,,
adaptive,適應的,apt,0,4,
apt,適合的,apt,0,4,
aptitude,適宜、才能、資質,apt,0,A,
adept,熟練的、內行的,ept,0,4,
deft,靈巧的,eft,0,5,
inept,無能的,ept,0,4,
,,,,,
Unit_1,,,,,
rigid,嚴格的、死板的,rig,0,5,
rigor,嚴格、嚴苛,rig,0,3,
rigorous,嚴格的、嚴峻的,rig,0,3,
,,,,,
erudite,博學的,rud,0,5,
rudimentary ,基本的、初步的,rud,0,4,
,,,,,
incipient ,初期的,cip,0,1,
precipitate,降水、加速、魯莽的,cip,0,4,
,,,,,
limpid,清澈的、透明的,,0,1,
pellucid,清晰的,luc,0,2,
,,,,,
edify,教化、訓誨,,0,4,
,,,,,
meticulous ,小心翼翼,,0,5,
,,,,,
flair,才華,,0,4,
,,,,,
virtue,美德、優點、淺能,virtue,0,1,
virtuosity,精湛的技巧,virtue,0,4,
,,,,,
circumvent,迴避,ven/vent,0,4,
sidestep,迴避,ven/vent,0,,
,,,,,
augment,增加,auc/aug/aut/aux,0,5,
auxiliary ,輔助的,auc/aug/aut/aux,0,3,
authoritative,權威的、官方的,auc/aug/aut/aux,0,5,
,,,,,
endorse,背書,,0,,
,,,,,
conformity ,一致、遵從,form,0,5,
formative,形成的、構成的,form,0,4,
formulaic,公式的、刻板的,form,0,3,
,,,,,
endemic,當地的,de,0,3,
,,,,,
epidemic,流行病,,0,,
pandemic,大規模流行病,,0,,
,,,,,
apostasy,背教、脫黨、變節,sta/st,0,2,
armistice,休戰,sta/st,0,1,
ecstatic,狂喜的,sta/st,0,5,
forestall,先發制人、預先阻止,sta/st,0,5,
obstinate,固執的、難以改變的,sta/st,0,4,
stawlwart,堅決的、健壯的,sta/st,0,3,
staunch,堅定的、忠誠的,sta/st,0,1,
stilted,呆板的、不自然的,sta/st,0,3,
,,,,,
ubiquity ,無所不在,,0,,
omnipresence,無所不在,,0,,
,,,,,
avert,避免、防止,vert/vers,0,4,forestall/stave off
,,,,,
foreseen,預知,,0,,
anticipate ,預料、預知,,0,,
,,,,,
compelling ,令人注目的、強制的,pel,0,4,
dispel,驅散,pel,0,4,
impel,推進、推動,pel,0,1,
propel,推進、推,pel,0,1,
,,,,,
submit to,屈服於,,0,,
succumb to,屈服於、投降,,0,,
,,,,,
endure,持續、延續,,0,,persist
,,,,,
thwart,阻撓、阻礙,,0,5,
,,,,,
asperity ,嚴酷、粗魯,asper,0,2,
exasperate,激怒、使惱怒,asper,0,4,
,,,,,
charisma,吸引力,,0,,
,,,,,
singularity ,奇異的,,0,,
,,,,,
peculiar,奇怪的,,0,5,
,,,,,
centrifugal,離心的,centr,0,1,
eccentric,古怪的,centr,0,3,
,,,,,
fugitive,短暫的,fug,0,2,
,,,,,
predilection,偏袒、愛好,lect,0,4,proclivity
,,,,,
disinclination,不情願,clin,0,3,
proclivity ,頃向,clin,0,3,
recline,斜倚、躺臥,clin,0,S,
,,,,,
vacillate,猶豫不決,,0,5,
decisive,決定性、果斷,,0,,
,,,,,
adversary ,對手,vert/vers,0,4,
adversity,逆境,vert/vers,0,1,
aversion,厭惡,vert/vers,0,4,
incontrovertable,無疑的,vert/vers,0,2,
conversant,熟悉的,vert/vers,0,3,
divert,轉移注意力,vert/vers,0,2,
overt,明顯的、公然的,vert/vers,0,3,
revert,恢復、回復到,vert/vers,0,2,
versaltile,多才多藝的,vert/vers,0,4,
,,,,,
boisterousness,喧鬧的、愛鬧的,,0,,
,,,,,
mediocre,平凡的、平庸的,medi,0,5,
mediate,調停解決,medi,0,2,
intermediary ,中間物,medi,0,1,
,,,,,
disparate,不同的、異類的,par,0,5,
dsiparage,貶抑、輕蔑,par,0,,
,,,,,
apprehend,理解、逮埔、恐懼,prehend/prehens,0,,
comprehensive,全面的、綜和的,prehend/prehens,0,,
,,,,,
congenial,意氣相投的、性情好的,gen,0,5,
engender,使產生,gen,0,5,
heterogeneous ,異類的,gen,0,5,
homogeneous ,同類的,gen,0,5,
indigenous,本地的,gen,0,3,
ingenious,聰明的,gen,0,5,
ingenuous,純樸的、單純的,gen,0,5,
disingenuous,不誠實的、虛偽的,gen,0,5,
,,,,,
derivative ,非原創的、衍生的,riv,0,7,
,,,,,
oblivious,未察覺的,,0,6,
,,,,,
virtual,幾乎,,0,,
,,,,,
benefactor ,行善者,ben/bene,0,5,
beneficent ,慈善的,ben/bene,0,3,
benign ,良性的,ben/bene,0,5,
benevolent ,善心的,ben/bene,0,3,
,,,,,
avarice ,貪得無厭,,0,4,
avaricious,貪得無厭的,,0,4,
,,,,,
fractious,易怒的、好爭吵的,frac/fract/frag,0,3,
frivolous,不重要的、草率的,frac/fract/frag,0,5,
refractory,難醫治的、反應遲鈍的,frac/fract/frag,0,3,
suffrage,選舉權、投票權,frac/fract/frag,0,3,
,,,,,
rapacious,貪婪的、強奪的,rap,0,3,avaricious 
precarious,不穩的、危險的,,0,5,
anatomical,解剖學的,tom,0,2,
dichotomy ,分裂、二分法、對立,tom,0,3,
epitome,典型、摘要,tom,0,4,
,,,,,
primacy,卓越、第一位,prim/pri,0,4,
primitive,原始的,prim/pri,0,3,ˋ
pristine,原始的、清新的、純樸的,prim/pri,0,5,
,,,,,
tenacious,堅持的、頑強的,tain/ten/tin,0,4,
tenable,站得住腳的,tain/ten/tin,0,3,
abstain,放棄、棄權(投票權),tain/ten/tin,0,4,
abstemious,節儉的、有節制的,tain/ten/tin,0,4,
countenance,贊同、面容,tain/ten/tin,0,3,
pertain,屬於、關於,tain/ten/tin,0,4,
pertinent,有關的、相關的,tain/ten/tin,0,4,
impertinent,粗魯無禮的、不中肯的,tain/ten/tin,0,3,
sustain,承受,tain/ten/tin,0,A,
,,,,,
condescending,傲慢的、恩賜的、屈尊的,scend/scan/scent,0,5,
ascendancy ,優勢、統治權,scend/scan/scent,0,4,
slander,誹謗,scend/scan/scent,0,S,
transcend,超越,scend/scan/scent,0,4,
transcendent,超越的、超驗的,scend/scan/scent,0,5,
,,,,,
blithe,無憂的,blis,0,3,
,,,,,
indolent,懶惰的,dol,0,3,
condole,哀悼、同情,dol,0,1,
condolence,弔辭、慰問,dol,0,1,
dolorous,悲痛的,dol,0,1,
,,,,,
presume,相信、推測,sum,0,3,
presumptuous,專橫的、自以為是的,sum,0,4,
,,,,,
dearth,缺乏,,0,3,
,,,,,
implausible,難以置信的,plaud/plaus/laud,0,4,
laudatory,表示讚美,plaud/plaus/laud,0,1,
plausible,貌似真實的,plaud/plaus/laud,0,5,
,,,,,
convoluted,費解的,volu,0,4,
,,,,,
laconic,簡短的,,0,5,
reticent,無言的、沈默的,,0,5,
taciturn,沈默的,,0,5,
,,,,,
garrulous,喋喋不休,,0,5,
,,,,,
ascetic,禁慾主義者、苦行者,,0,4,
,,,,,
ornamnetal,裝飾性的,orn,0,4,
ornate,裝飾華麗的、過分修飾的,orn,0,2,
,,,,,
utilitarian,工具性的,ut/us,0,,
,,,,,
austere,嚴厲的、簡樸的,,0,5,
,,,,,
prose,散文,prose,0,3,
prosaic,乏味的、平淡的、散文的,prose,0,3,
,,,,,
solemn,鄭重的,,0,,
,,,,,
ungainly ,笨拙的,,0,,
,,,,,
somber,陰鬱的,,0,,
,,,,,
circumlocution,迂迴累贅的陳述,locu/log/logu/loqu,0,2,
colloquial,口語的,locu/log/logu/loqu,0,1,
eloquence,口才,locu/log/logu/loqu,0,3,
eulogize,稱讚,locu/log/logu/loqu,0,1,
eulogy,頌文、頌詞,locu/log/logu/loqu,0,1,
loquacious,多話的、非常健談的,locu/log/logu/loqu,0,5,
monolog,獨白,locu/log/logu/loqu,0,1,
solilouy,自言自語、戲劇獨白,locu/log/logu/loqu,0,1,
,,,,,
latent,淺伏的、淺在的,,0,4,
,,,,,
ostentatious ,誇耀的,,0,1,
modest,謙遜,,0,1,
,,,,,
mawkish,多愁善感的,,0,1,
,,,,,
remuneration,報酬,,0,,
,,,,,
contempt,輕視,,0,5,
contemptuous,輕視的,,0,5,
decry,責難,,0,4,
,,,,,
condone,原諒,don,0,5,
,,,,,
contentious,有爭議的、好辯的,tent/tend/tens,0,5,
contend,主張、競爭,tent/tend/tens,0,,
,,,,,
founder ,沈沒、失敗,found/fund,0,3,
confound,使困惑、證明為偽,found/fund,0,5,
profound,深刻的、深奧的,found/fund,0,4,
,,,,,
articulate,清楚,,0,,
,,,,,
zealous,狂熱的、熱情的,,0,5,
astute,敏銳的、精明的,,0,4,
,,,,,
obdurate,頑固的、固執的、頑抗的,dur,0,3,
,,,,,
tractable,易於駕駛、溫馴,tract,0,3,
intractable,倔強的、難管的,tract,0,6,
detract,貶低、詆毀,tract,0,3,
protract,延長,tract,0,3,
,,,,,
clandestine,秘密的、暗中的,clan,0,5,
clannish,排他的、門戶之見,,0,1,
,,,,,
surreptitious,秘密的、偷偷摸摸的,rept,0,3,
,,,,,
neophyte,新手,phyte,0,1,
novice,新手,,0,,
,,,,,
compliance,遵從,pli/plic,0,3,
replicate,折疊、複製,pli/plic,0,5,
accomplice,同謀者、幫兇,pli/plic,0,3,
duplicitious,欺騙的、雙面的、奸詐的,pli/plic,0,3,
duplicity,欺騙,pli/plic,0,4,
compliant,順從的,pli/plic,0,A,
,,,,,
suppleness,柔軟的、易彎曲的,,0,,
,,,,,
pliable,易彎曲的、柔軟的,pli/plic,0,1,
pliers,鉗子、鑷子,pli/plic,0,S,
explicit,詳盡的、明確的,pli/plic,0,5,
implicate,牽連、暗示,pli/plic,0,A,
supplicate,懇求,pli/plic,0,1,
,,,,,
irenic,和平的,,0,4,
,,,,,
intrasigent,不妥協的、不讓步的,trans,0,4,
transient,短暫的,trans,0,1,
,,,,,
compromise,妥協,,0,,
,,,,,
communal,全體共有的、共享的,mun,0,4,
munificent,寬宏的、慷慨的,mun,0,2,
,,,,,
exonerate,免除責任、宣布無罪,oner,0,4,
onerous,繁重的、麻煩的,oner,0,2,
,,,,,
pedestrian,缺乏想像,ped,0,5,
mundane,乏味的、平凡的,,0,5,
,,,,,
sporadic,零星的,,0,5,
,,,,,
distortion,扭曲、曲解,tort,0,5,
torment,折磨、痛苦,tort,0,1,
tortuous,迂迴曲折的,tort,0,2,
,,,,,
convoluted,費解的,volu/volv/volt,0,4,
devolve,被轉移的、被移交,volu/volv/volt,0,1,
revolt,叛亂、反感,volu/volv/volt,0,1,
voluble,健談的、口若懸河的,volu/volv/volt,0,3,
,,,,,
ethereal,飄渺的、超凡的,the,0,1,
atheism,無神論,the,0,S,
,,,,,
archaic,陳舊的,,0,,
antediluvian,陳舊的,ante/anti,0,,
antecedent, 先前的、前身的、先例,ante/anti,0,,
antedate,先於,ante/anti,0,,
antiquated,過時的、陳舊的,ante/anti,0,,
,,,,,
dogma,教條,dog/dox,0,5,
heterodox,異端的,dog/dox,0,5,
paradox,悖論,dog/dox,0,5,
orthodox,正統的,dog/dox,0,5,
,,,,,
intelligible,可理解的,,0,5,
unintelligible,難以理解的,,0,5,
unfathomable,難以理解的,,0,5,
fathom,理解,,0,5,
,,,,,
Unit_2,,,,,
,,,,,
robust,強健的、健全的,rob,0,4,
corroborate,確證,rob,0,5,
,,,,,
parsimonious,吝嗇的,,0,5,
,,,,,
constrain,強迫、迫使,str,0,3,
restrain,克制、抑制,str,0,5,
hamstring,使殘廢,str,0,3,
outstrip,超過、跑過,str,0,4,
strip,剝去,str,0,,
,,,,,
impede,阻礙,ped,0,5,
impediment,阻礙,ped,0,5,
expedient,方便的,ped,0,4,
,,,,,
precedent,先例、前例,cede/ceed/cess,0,5,
unprecedented,前所未見的,cede/ceed/cess,0,3,
concede,承認、讓步,cede/ceed/cess,0,5,
incessant,不停的、連續的,cede/ceed/cess,0,3,
precede,早於、在...之前,cede/ceed/cess,0,4,
predecessor,前任,cede/ceed/cess,0,1,
recede,後退,cede/ceed/cess,0,1,
successively,連續的、接連的,cede/ceed/cess,0,1,
,,,,,
consequence,重要性、結果,secu,0,S,
inconsequential,不重要的,secu,0,5,
obsequious,諂媚的,secu,0,5,
sequacious,順從的、缺乏獨創性的,secu,0,1,
,,,,,
momentus,重大的,,0,2,
,,,,,
precarious,不穩的、危險的,prec,0,5,
deprecate,反對、輕視,prec,0,4,
,,,,,
subtle,隱約,,0,,
,,,,,
adduce,引用,duc/duct,0,3,
deduce,推斷,duc/duct,0,4,
conducive,有助的、促成的,duc/duct,0,3,
seductive,誘惑的、有魅力的,duc/duct,0,2,
seduce,勾引,duc/duct,0,2,
induce,誘導、促成,duc/duct,0,,
,,,,,
trifling,不重要的,,0,,
trivial,不重要的,,0,,
,,,,,
auspicious,吉利的,spec\spic,0,3,
circumspect,慎重的,spec\spic,0,5,
conspicuous,顯著的,spec\spic,0,5,
despicable,卑鄙的,spec\spic,0,2,
specious,似是而非,spec\spic,0,5,
,,,,,
pessimistic,悲觀,,0,,
,,,,,
propitious,有利的,,0,2,
,,,,,
efface,抹去、擦掉,face,0,1,
facetious,輕浮的、愛開玩笑的,face,0,5,
,,,,,
egegious,過分的,greg,0,2,
gregarious,群居的、愛社交的,greg,0,2,
,,,,,
allege,指控,,0,,
,,,,,
bravado,虛張聲勢,,0,2,
,,,,,
equanimity,鎮定,equ,0,2,
egalitarian,主張人人平等的,equ,0,4,
equable,穩定的,equ,0,1,
equilibrium,平衡,equ,0,3,
equivalent,相等、等值,equ,0,5,
equivocal,不明確的、模稜兩可的,equ,0,5,
iniquitous,極不公正的,equ,0,1,
,,,,,
exhilarate,使高興,hilar,0,4,
,,,,,
consternation,大為吃驚、驚駭,stern,0,1,
stern,嚴厲的、堅定的,stern,0,A,
,,,,,
ambivalent,矛盾的,val\vail,0,5,
prevalent,普遍的、盛行的,val\vail,0,2,
valiant,勇敢的,val\vail,0,1,
,,,,,
assert,斷言,,0,,
assertion,斷言,,0,,
,,,,,
coincide,巧合,cad/cid/cas,0,2,
decadence,衰落、頹廢,cad/cid/cas,0,1,
cascade,小瀑布、級聯,cad/cid/cas,0,,
,,,,,
shrewd,精明的、敏銳的,,0,4,
,,,,,
extol,讚美,,0,4,
,,,,,
deplore,強烈反對、譴責,,0,,
,,,,,
absorbing,吸引人的,,0,,
,,,,,
perplex,困惑、困擾,,0,,
baffle,困惑,,0,,
,,,,,
sterling,優秀的、出色的,,0,3,
gainsay,,,0,1,
ad hoc,臨時的、特別安排的,,0,1,
,,,,,
advocate,支持者,,0,,
,,,,,
overbearing,專橫的、好指使人的,,0,,
,,,,,
rambling,閒聊、漫步,,0,,
,,,,,
innocuous,無害的,noc/nox/nic,0,5,
noxious,有害的、有毒的,noc/nox/nic,0,2,
obnoxious,令人不愉快的、可憎的,noc/nox/nic,0,4,
pernicious,有毒的、致命的,noc/nox/nic,0,3,
,,,,,
figurative ,比喻的、象徵的,figur/fig,0,3,
configuration,結構、配置、輪廓,figur/fig,0,4,
prefigure,預想,figur/fig,0,2,
,,,,,
complementary,補充的、補足的,plet,0,3,
deplete,用盡、使減少,plet,0,1,
plethora,過量、過剩,plet,0,1,
replete,充滿的、裝滿的,plet,0,1,
,,,,,
at odds,不同於、對立的、意見不同的,,0,4,
,,,,,
stagnant,停滯,,0,,
,,,,,
substantial,大量的、實在的,,0,4,
insubstantial,非現實性的,,0,4,
,,,,,
consonant,調和的、一致的,son,0,1,
dissonant,不和諧的、不一致的,son,0,3,
resonant,共鳴的,son,0,2,
sonorous,響亮的,son,0,3,
,,,,,
whimsical,怪誕的、異想天開的、反復無常的,,0,5,
,,,,,
congruent,適合的、一致的,gru,0,4,
incongruous,不一致的、不得體的,gru,0,4,
,,,,,
wary ,謹慎的,,0,3,
,,,,,
belie,掩蓋、證明為偽,,0,5,
,,,,,
foreshadow,預兆、預示,,0,4,
portend,預示、預先警告,,0,5,
,,,,,
accentuate,強調,cant/cent/chant,0,4,
incentive,刺激、鼓勵,cant/cent/chant,0,,
recant,改變、放棄(信仰、聲明),cant/cent/chant,0,,
,,,,,
coagulate,使凝結,ag/ig,0,1,
agitated,激動的、不安的,ag/ig,0,3,
,,,,,
assortment,種類,,0,,
,,,,,
monolithic,巨石的、如巨石般單一未分化的,lith,0,1,
,,,,,
haphazard,無計劃的、任意的,hap,0,4,
mishap,小錯誤、事故,hap,0,1,
,,,,,
anomalous,反常的、不規則的,norm,0,23,
,,,,,
antithetical,相反的、對立的,thes/thet,0,5,
synthesize,綜合、合成,thes/thet,0,5,
photosynthesis,光合作用,thes/thet,0,1,
,,,,,
pertinent,有關的、相關的,,0,4,
,,,,,
shrieking,尖叫,,0,4,
caterwauling,嚎叫、尖叫,,0,4,
,,,,,
callous,無情的、硬結的,calc,0,4,
recalcitrant,頑抗的、難以控制的,calc,0,3,
,,,,,
preachy,講道的,,0,,
sanctimonious,道貌岸然的,,0,,
,,,,,
pious,虔誠的、盡責的,pi,0,2,
piety,孝順、虔誠,pi,0,3,
,,,,,
feeble,虛弱的,,0,2,
enfeeble,使虛弱,,0,2,
,,,,,
lopsided,傾向一邊的、不平衡的,,0,,
,,,,,
disposition,天性、氣質、處理,,0,3,
,,,,,
imperturbable,沈著的,turb,0,2,
perturbable,易擾動的,turb,0,2,
turmoil,騷動,turb,0,3,
,,,,,
duplicitous,欺騙的、搞兩面派的、奸詐的,pli,0,3,
duplicity,欺騙、口是心非,pli,0,4,
,,,,,
spurious,假的,,0,,
,,,,,
eclectic,折衷的、綜合的,,0,5,
predilection,偏袒,,0,4,
,,,,,
lambaste,痛打、痛罵,bat,0,2,
,,,,,
pronounce,明確的,,0,2,
denounce,指責,,0,1,
,,,,,
shackle,束縛、腳鐐,,0,1,
stilfe,使窒息、悶死,,0,1,
,,,,,
admonish,警告、告誡,,0,1,
reprove,責備,,0,1,
reprimand,訓斥,,0,1,
,,,,,
foster,促進、鼓勵,,0,3,
,,,,,
ebullient,熱情活潑的,,0,1,
exuberant,熱情的、豐富的,,0,5,
,,,,,
affable,和藹可親的,fa,0,4,
defamatory,破壞名譽的,fa,0,2,
blasphemy,褻瀆,fa,0,,
,,,,,
overwrought,過於緊張的、過度激動的,,0,1,
,,,,,
veneration,尊敬,,0,5,
,,,,,
pretentious,矯揉做作的、自命不凡的,,0,5,
,,,,,
diminutive,極小的,,0,1,
minuscule,微小的,,0,1,
,,,,,
covet,覬覦,cup,0,3,
cosseted,寵愛的,cup,0,1,
,,,,,
arduous,費力的、艱難的,,0,4,
taxing,負擔沈重的,,0,1,
,,,,,
negate,否認、取消,neg,0,4,
negligent,疏忽的,neg,0,3,
negligible,可以忽略的,neg,0,3,
abnegate,否認、放棄,neg,0,4,
,,,,,
waning,月缺、衰落,,0,,
ebbing,退潮、衰退,,0,,
,,,,,
vindicate,為 ... 平反、證明為正確,vend/vind,0,4,
vindictive,報復的,vend/vind,0,1,
,,,,,
dire,非常可怕的、悲慘的,,0,,
,,,,,
deride,嘲笑、嘲弄,rid/ris,0,2,
ridicule,嘲笑、奚落,rid/ris,0,2,
ridiculous,荒謬的,rid/ris,0,3,
,,,,,
reciprocity,相互性、互惠,cip,0,5,
covet,覬覦、貪求,cip,0,3,
cosseted,寵愛的,cip,0,1,
,,,,,
flout,嘲諷,,0,,
,,,,,
disinterested,無私的,,0,,
,,,,,
exactitude,正確性,,0,2,
exacting,嚴格的、嚴厲的,,0,4,
,,,,,
glean,找尋,,0,3,
gleaner,拾穗者(畫),,0,,
,,,,,
discern,識別,cern,0,5,
,,,,,
dwindle,減少,,0,3,
,,,,,
scant,貧乏的,,0,4,
,,,,,
ponderous,笨拙的,ponder,0,3,
preponderate,壓倒、超過,ponder,0,1,
,,,,,
annihilate,殲滅、消滅,nul/nil,0,3,
nillify,使無效、廢棄,nul/nil,0,1,
,,,,,
dispense,施予、分配、免除,,0,,
dispensable,不必要的,,0,,
,,,,,
diseminate,散布、傳播,semin,0,4,
sminal,開創性的、種子的,semin,0,1,
,,,,,
query,詢問、疑問,,0,,
,,,,,
absurd,荒誕,,0,,
outlandish,稀奇古怪的,,0,,
,,,,,
respite,暫緩,,0,1,
,,,,,
rebuke,斥責,,0,3,
reproach,斥責、責備,,0,1,
,,,,,
precursor,先兆,,0,5,
forerunner,預示,,0,,
,,,,,
deference,尊敬,,0,5,
,,,,,
lull,暫停、使入睡,,0,,
,,,,,
insurgent,叛亂的,,0,,
resurge,復活、復甦,,0,,
,,,,,
harbinger,先兆、通報者,,0,1,
herald,預示、先兆、傳令官,,0,1,
,,,,,
posit,斷定、假設,,0,3,
,,,,,
hone,磨練,,0,,
,,,,,
abate,消散,bate,0,4,
dissipate,使驅散、浪費,sip,0,4,
insipid,乏味的、沒味道的,sip,0,4,
,,,,,
recalcitrant,頑抗的,cal,0,3,
,,,,,
amend,修訂,mend,0,2,
commend,稱讚,mend,0,1,
emend,校訂、修改,mend,0,2,
mendacious,虛偽、說謊,mend,0,4,
,,,,,
slumber,睡眠,,0,2,
lethargic,昏昏欲睡的,,0,4,
sumnolent,想睡的、催眠的,somn,0,4,
soporific,令人想睡的,somn,0,4,
,,,,,
befuddle,使昏迷,,0,1,
,,,,,
sagacious ,睿智的,,0,1,
,,,,,
affluent,豐腴的,flu,0,1,
superfluos,多餘的、累贅的,flu,0,5,
,,,,,
florid,華麗的、氣色好的,flor/flour,0,1,
florish,興盛,flor/flour,0,A,
,,,,,
haphazrd,任意的、無計劃的,hap,0,4,
,,,,,
eminent,出眾的,min,0,2,
imminent,即將發生的、逼近的,min,0,3,
preeminent,卓越的、顯著的,min,0,3,
prominent,凸出的、顯著的,min,0,4,